Reference Number = 2408 Incident Particle: neutron  Target: Z= 94 A= 239 Ef = -6.090
En(MeV)   RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
  2.450   416.018   389.397    26.621    -4.197    12.955     1.215    11.740    29.290     1.239    28.051     0.007
  2.500   415.886   389.276    26.610    -4.195    13.030     1.222    11.808    29.498     1.253    28.245     0.007
  2.550   415.753   389.155    26.598    -4.194    13.104     1.229    11.875    29.705     1.268    28.438     0.007
  2.600   415.619   389.035    26.584    -4.192    13.178     1.237    11.942    29.912     1.282    28.630     0.007
  2.650   415.483   388.914    26.569    -4.190    13.253     1.244    12.009    30.117     1.297    28.821     0.007
  2.700   415.346   388.794    26.553    -4.188    13.327     1.251    12.076    30.322     1.311    29.011     0.007
  2.750   415.208   388.673    26.535    -4.186    13.401     1.258    12.143    30.527     1.326    29.200     0.007
  2.800   415.069   388.553    26.516    -4.185    13.475     1.265    12.210    30.730     1.341    29.389     0.007
  2.850   414.928   388.433    26.495    -4.183    13.550     1.272    12.277    30.933     1.356    29.577     0.007
  2.900   414.786   388.313    26.474    -4.181    13.624     1.279    12.344    31.135     1.371    29.764     0.007
  2.950   414.644   388.193    26.451    -4.179    13.698     1.287    12.411    31.336     1.386    29.950     0.007
  3.000   414.499   388.073    26.427    -4.177    13.772     1.294    12.478    31.536     1.401    30.135     0.007
